Food Name,Serving Size,Calories,Time of Day,User Preferences
Beetroot,1 beet (82 g),35,Lunch,Low-Calorie
Bell Pepper,1 pepper (73 g),15,Lunch,Low-Calorie
Broccoli,1 bunch (608 g),207,Dinner,Low-Calorie
Chicken Caesar Salad,1 salad (309 g),392,Lunch,High-Protein
Margherita Pizza,1 slice (63 g),173,Dinner,Comfort Food
Grilled Chicken,1 piece (71 g),116,Lunch,High-Protein
Vegetable Soup,1 cup (241 g),67,Dinner,Low-Calorie
Salmon,1 piece (198 g),412,Lunch,Keto-Friendly
Fruit Salad,1 cup (249 g),125,Breakfast,Low-Calorie
Quinoa Bowl,1 cup (170 g),626,Breakfast,High-Protein
Chicken Wings,1 piece (29 g),94,Snack,Comfort Food
Veggie Burger,1 burger (215 g),389,Dinner,High-Protein
Yogurt Parfait,1 serving (200 g),180,Breakfast,Keto-Friendly
Egg White Omelet,1 omelet (150 g),120,Breakfast,High-Protein
Green Salad,1 cup (100 g),20,Lunch,Low-Calorie
Protein Smoothie,1 glass (250 ml),200,Snack,High-Protein
Avocado Toast,1 slice (100 g),250,Breakfast,High-Protein
Black Bean Burrito,1 burrito (190 g),380,Lunch,High-Fiber
Sushi Roll,1 roll (35 g),33,Dinner,Low-Calorie
Protein Energy Bar,1 bar (50 g),200,Snack,High-Protein
BBQ Chicken Pizza,1 slice (132 g),309,Dinner,Comfort Food
Butter Chicken,1 tray (350 g),490,Dinner,Comfort Food
Dal,1/2 cup (92 g),304,Lunch,High-Protein
Samosa,1 samosa (50 g,107,Snack,Comfort Food
Peanut Butter Sandwich,1 sandwich (49 g),200,Breakfast,High-Protein
Mac and Cheese,1 serving (189 g),699,Dinner,Comfort Food
Taco,1 taco (98 g),213,Lunch,Comfort Food
Spinach Pizza,1 slice (62 g),145,Dinner,Low-Calorie
Banana,1 banana (125 g),111,Breakfast,High-Fiber
Mango Smoothie,1 glass (250 ml),202,Snack,Comfort Food
Mushroom Soup,1 cup (244 g),85,Dinner,Low-Calorie
Sweet Potato,1 potato (130 g),112,Lunch,High-Fiber
Chocolate Chip Ice Cream,1 scoop (72 g),155,Snack,Comfort Food
Chicken Tikka Masala,1 serving (241 g),195,Dinner,Comfort Food
Orange Chicken,1 serving (162 g),420,Lunch,Comfort Food
Spring Roll,1 roll (140 g),350,Snack,Comfort Food
Falafel,1 patty (17 g),57,Lunch,High-Fiber
